Summary
Name,"JAA_CAL348.rslt"
Start time,2023 Jun 06 - 12:10
End time,2023 Jun 13 - 12:50
Operator,"JAA"
Results file path,"C:\Users\ge65ley\Desktop\Calorimetry_Results\AXD\Results_files\JAA_CAL348.rslt"
General Experiment Info
Bath temperature,20°C
,Sample - 25336:4
Total mass,6g
Name,"JAA_CAL348"
,Component - OPC
Mass,4g
Name,"OPC"
ID,"Karlstadt CEM I 52.5N 12.10.21"

"Time","Temperature [AmbientT(Therm3T)]","Temperature [Temperature]","Heat flow [Signal]","Heat [Signal]","Normalized heat flow [Signal]","Normalized heat [Signal]","Time markers"
1424.795717716217,25.795508818611896,20.00024064796287,NaN,NaN,NaN,NaN,""
1478.6605858802795,25.755993088596394,19.999495941359573,NaN,NaN,NaN,NaN,""
1514.9496483802795,25.729371120602377,19.999747785234344,NaN,NaN,NaN,NaN,""
1540.0978417396545,25.8022131264107,19.99983185128158,NaN,NaN,NaN,NaN,""
1565.2460350990295,25.875055132219025,19.99970667399713,NaN,NaN,NaN,NaN,""
1606.7211327552795,25.80936370224863,19.999500228149405,NaN,NaN,NaN,NaN,""
1616.5658593177795,25.967038567585092,19.999593499110308,NaN,NaN,NaN,NaN,""
1626.4105858802795,26.124713432921553,19.999706021394672,NaN,NaN,NaN,NaN,""
1651.5187208652496,25.91129719011744,19.999992999878707,NaN,NaN,NaN,NaN,"Reaction start. Measuring position. Signal correct"
1652.4697108268738,25.903213885456392,20.000003869409944,6.6632950509425595E-06,6.323888363121693E-06,1.6658237627356399E-06,1.5809720907804233E-06,""
1667.2167811393738,25.92270377239184,20.000172424019226,7.615752636710617E-06,0.00012102809382477601,1.9039381591776543E-06,3.0257023456194003E-05,""
1680.2626795768738,25.978853365035746,20.000219576094572,8.458337954787267E-06,0.0002225004122647628,2.114584488696817E-06,5.56251030661907E-05,""
1693.3085780143738,25.94530955457707,20.000192812604364,9.660315350187733E-06,0.0003444427793384835,2.415078837546933E-06,8.611069483462087E-05,""
1721.9853358268738,25.84135609906691,20.00013398261036,1.3143842214628926E-05,0.0006604140447705006,3.2859605536572314E-06,0.00016510351119262514,""
1744.9970545768738,25.810311316067178,20.000086774369976,1.7521116916833894E-05,0.0010636050594465493,4.380279229208474E-06,0.0002659012648616373,""
1768.0087733268738,25.80153220621266,20.0000395661296,2.1898391619038863E-05,0.001466796074122598,5.474597904759716E-06,0.0003666990185306495,""
1808.3952479362488,25.78612452193299,19.999956713804565,3.162972589205962E-05,0.002547702053497408,7.907431473014905E-06,0.000636925513374352,""
1835.1199793815613,25.775928875282695,19.999916025131803,3.924942988034869E-05,0.0035966325264313505,9.812357470087172E-06,0.0008991581316078376,""
1861.8447108268738,25.7657332286324,19.999928924796514,4.6869133868637754E-05,0.004645562999365293,1.1717283467159439E-05,0.0011613907498413234,""
1873.2641015052795,25.761376662035765,19.999934436781217,5.040492408350802E-05,0.005227525582512847,1.2601231020877004E-05,0.0013068813956282118,""
1888.2861170768738,25.778515042771197,19.999941687704,5.5056196394044896E-05,0.005993087531685799,1.3764049098511224E-05,0.0014982718829214497,""
1918.7880702018738,25.813314240211714,19.999956410582286,6.614165766182584E-05,0.00784147316331718,1.653541441545646E-05,0.001960368290829295,""
1932.7401757240295,25.82923197743945,19.999963145074027,7.108337501029351E-05,0.00881322796022099,1.7770843752573378E-05,0.0022033069900552473,""
1938.5947108268738,25.785361063170278,19.999965970978565,7.31570016495843E-05,0.009220992405579885,1.8289250412396074E-05,0.002305248101394971,""
1940.4697108268738,25.771310764929733,19.999966876015584,7.578586065228377E-05,0.009360626338987885,1.8946465163070942E-05,0.0023401565847469713,""
1941.4697108268738,25.763817272534776,19.999967358701998,0.00011484218036935557,0.009455940359498706,2.8710545092338892E-05,0.0023639850898746766,""
1942.4697108268738,25.75632378013982,19.999967841388408,0.0002627247245141631,0.009644723811940465,6.568118112854078E-05,0.0024111809529851163,""
1943.4697108268738,25.748830287744862,19.99996832407482,0.0006320483718791083,0.010092110360137102,0.00015801209296977708,0.0025230275900342755,""
1944.4697108268738,25.741336795349905,19.99996880676123,0.0013373109632371313,0.01107679002769522,0.0003343277408092828,0.002769197506923805,""
1945.4697108268738,25.73384330295495,19.99996928944764,0.002410027582694303,0.012950459300660938,0.0006025068956735757,0.0032376148251652345,""
1946.4697108268738,25.72634981055999,19.99996977213405,0.003784510776280668,0.016047728480148425,0.000946127694070167,0.004011932120037106,""
1947.4697108268738,25.718856318165038,19.999970254820465,0.005362737426046526,0.02062135258131202,0.0013406843565116316,0.005155338145328005,""
1948.4697108268738,25.71136282577008,19.999970737506874,0.007200093422653826,0.026902768005662197,0.0018000233556634566,0.006725692001415549,""
1949.4697108268738,25.703869333375124,19.999971220193284,0.00920418550485501,0.035104907469416614,0.0023010463762137526,0.008776226867354154,""
1950.4697108268738,25.696375840980163,19.999971702879698,0.011408649664696206,0.04541132505419222,0.0028521624161740515,0.011352831263548056,""
1951.4697108268738,25.688882348585206,19.999972185566108,0.013899881936960339,0.0580655908550205,0.0034749704842400846,0.014516397713755125,""
1952.4697108268738,25.68138885619025,19.999972668252518,0.016610208759812423,0.07332063620340688,0.004152552189953106,0.01833015905085172,""
1953.4697108268738,25.673895363795292,19.99997315093893,0.01948937737871556,0.09137042927267086,0.00487234434467889,0.022842607318167715,""
1954.4697108268738,25.666401871400335,19.99997363362534,0.022439596571899836,0.11233491624797855,0.005609899142974959,0.028083729061994637,""
